neighbourhood,municipality,longitude,latitude,play_demand,a_00_14
De Aker Oost,Amsterdam,4.7882876,52.3470443,5,1070
Overtoomse Veld Noord,Amsterdam,4.837568,52.3730438,6,1220
F-buurt,Amsterdam,4.9547795,52.3135175,5,830
Reigersbos Noord,Amsterdam,4.9740506,52.3007124,5,925
Oude Gouw-Gommerwijk,Enkhuizen,5.2746228,52.7195107,6,1090
Hoofddorp Overbos Noord,Haarlemmermeer,4.6394394,52.3076637,5,790
Hoofddorp Overbos Zuid,Haarlemmermeer,4.6394394,52.3076637,5,885
Hoofddorp Toolenburg West,Haarlemmermeer,4.6638765,52.2960432,6,1010
Hoofddorp Toolenburg Oost,Haarlemmermeer,4.6638765,52.2960432,6,1305
Hoofddorp Floriande West,Haarlemmermeer,4.6394394,52.3076637,6,2175
Hoofddorp Floriande Oost,Haarlemmermeer,4.6394394,52.3076637,6,1845
Nieuw-Vennep Getsewoud Noord,Haarlemmermeer,4.6358893,52.2864878,6,1990
Nieuw-Vennep Getsewoud Zuid,Haarlemmermeer,4.6061706,52.2663418,5,1950
Stad van de Zon,Heerhugowaard,4.8201698,52.6450591,5,1190
Kerkelanden,Hilversum,5.143533,52.2201883,5,790
Kleine Driftbuurt,Hilversum,5.1864416,52.2276307,5,810
Liebergen,Hilversum,5.198227,52.2284437,6,925
Astronomische Buurt,Hilversum,5.198227,52.2284437,5,1170
Noord,Hilversum,5.1824071,52.2504485,7,1280
Noord-Scharwoude,Langedijk,4.8108679,52.6986574,6,960
Zuid-Scharwoude,Langedijk,4.7943409,52.6889687,6,955
Broek op Langedijk,Langedijk,4.8124467,52.6775172,5,1130
Sint Pancras,Langedijk,4.7867781,52.6655556,5,1050
Kerkbuurt,Oostzaan,4.8757219,52.4404972,6,1085
Ouderkerk aan de Amstel,Ouder-Amstel,4.915337,52.2947295,6,1490
Duivendrecht,Ouder-Amstel,4.9412022,52.332886,5,755
Overwhere-Zuid,Purmerend,4.9659138,52.5146124,7,955
Wheermolen-Oost,Purmerend,4.9715908,52.5090271,6,960
Gors-Noord,Purmerend,4.9550027,52.5003668,6,725
De Graeffweg en omgeving,Purmerend,5.0081027,52.5168451,5,720
Purmer-Zuid/Zuid,Purmerend,4.975815,52.4861298,6,930
Afrika,Purmerend,4.9341712,52.4958915,5,1080
Den Burg,Texel,4.7997253,53.0546266,6,865
Zijdelwaard,Uithoorn,4.8299261,52.2440878,7,1180
Legmeer,Uithoorn,4.8299261,52.2440878,6,1445
Meerwijk,Uithoorn,4.8149669,52.2340482,5,840
Bomenbuurt,Zaanstad,4.8482729,52.4246472,7,1345
Burgemeestersbuurt,Zaanstad,4.8322084,52.4373198,7,1090
Poelenburg,Zaanstad,4.8501344,52.435251,6,1870
Peldersveld,Zaanstad,4.8387858,52.4463974,6,1050
Hoornseveld,Zaanstad,4.8387858,52.4463974,5,880
Rosmolenbuurt,Zaanstad,4.8274597,52.4481955,7,1255
Kalf,Zaanstad,4.826445,52.4709411,6,800
Westerwatering,Zaanstad,4.8039234,52.4371368,6,1360
Oud Koog,Zaanstad,4.8047292,52.4607871,6,805
Westerkoog,Zaanstad,4.8047292,52.4607871,6,870
Wormerveer Noord,Zaanstad,4.7980674,52.4903502,7,1040
Centrum,Zaanstad,4.7396672,52.4691062,6,910
Parkrijk,Zaanstad,4.7480377,52.4888077,6,2755
Vrijenburg,Barendrecht,4.5018768,51.8601475,5,1350
Centrum Hoogkarspel,Drechterland,5.1652989,52.6925934,6,1325
Crabbehof-Zuid,Dordrecht,4.6604207,51.7891497,6,1035
De Korte Akkeren Oud,Gouda,4.7032818,52.0046635,6,1115
Ouwe Gouwe,Gouda,4.7254646,52.0196976,5,905
Belgisch Park,'s-Gravenhage,4.2948375,52.1118404,6,1230
Archipelbuurt,'s-Gravenhage,4.3002696,52.0943777,6,835
Scheveningen Badplaats,'s-Gravenhage,4.2814776,52.1096695,5,775
Duindorp,'s-Gravenhage,4.2541606,52.090738,7,1090
Statenkwartier,'s-Gravenhage,4.2757952,52.0939393,6,1735
Sweelinckplein en omgeving,'s-Gravenhage,4.2865074,52.0895671,6,985
Bloemenbuurt-Oost,'s-Gravenhage,4.2600138,52.0759228,6,1060
Bomenbuurt,'s-Gravenhage,4.2600138,52.0759228,6,950
Kraayenstein en Vroondaal,'s-Gravenhage,4.2182285,52.0468992,7,1100
Houtwijk,'s-Gravenhage,4.2484934,52.0537747,7,2100
Kom Loosduinen,'s-Gravenhage,4.2484934,52.0537747,5,595
Nieuw Waldeck,'s-Gravenhage,4.2363825,52.0595187,7,1250
Vruchtenbuurt,'s-Gravenhage,4.2587971,52.0680022,5,1365
Heesterbuurt,'s-Gravenhage,4.2688992,52.0702918,6,1100
Valkenboskwartier,'s-Gravenhage,4.2826458,52.0751033,6,1630
Rond de Energiecentrale,'s-Gravenhage,4.2826458,52.0751033,5,825
Koningsplein en omgeving,'s-Gravenhage,4.2826458,52.0751033,6,1085
Zeeheldenkwartier,'s-Gravenhage,4.2899304,52.0801488,6,1505
Landen,'s-Gravenhage,4.3632065,52.0907388,6,845
Burgen en Horsten,'s-Gravenhage,4.3502495,52.0912173,6,870
Bezuidenhout-Oost,'s-Gravenhage,4.3429446,52.0861751,7,1135
Schildersbuurt-West,'s-Gravenhage,4.3032365,52.06108,5,2800
Schildersbuurt-Noord,'s-Gravenhage,4.3076999,52.0688811,5,2030
Schildersbuurt-Oost,'s-Gravenhage,4.3076999,52.0688811,5,1465
Transvaalkwartier-Midden,'s-Gravenhage,4.2939462,52.0640732,6,1125
Transvaalkwartier-Zuid,'s-Gravenhage,4.2939462,52.0640732,6,1495
Rustenburg,'s-Gravenhage,4.278489,52.0639713,7,1030
Oostbroek-Zuid,'s-Gravenhage,4.2842477,52.0644259,6,1545
Leyenburg,'s-Gravenhage,4.2676802,52.062372,6,2170
"Venen, Oorden en Raden",'s-Gravenhage,4.2460684,52.0379392,6,1850
"Zijden, Steden en Zichten",'s-Gravenhage,4.2612031,52.0413737,6,1655
Dreven en Gaarden,'s-Gravenhage,4.2704843,52.0383843,6,2265
Morgenstond-Zuid,'s-Gravenhage,4.2809869,52.0433108,5,1210
Morgenstond-West,'s-Gravenhage,4.269286,52.0516968,7,1495
Morgenstond-Oost,'s-Gravenhage,4.2809869,52.0433108,5,975
Moerwijk-West,'s-Gravenhage,4.28726,52.0523718,5,1370
Moerwijk-Noord,'s-Gravenhage,4.3048307,52.0504046,6,1375
Groente- en Fruitmarkt,'s-Gravenhage,4.3032365,52.06108,6,1105
Laakhaven-West,'s-Gravenhage,4.3198159,52.0631285,5,1000
Spoorwijk,'s-Gravenhage,4.3149385,52.0526894,6,925
